"","day","Request","Violent","Property","Arrest","Total","Domestic"
"1",2018-07-04,6.42857142857143,32.5714285714286,25.7142857142857,21.8571428571429,102.285714285714,26.1428571428571
"2",2018-07-05,6.28571428571429,32.7142857142857,25.8571428571429,20.7142857142857,99,25.2857142857143
"3",2018-07-06,5.14285714285714,30.8571428571429,23.5714285714286,20.1428571428571,94.1428571428571,24.4285714285714
"4",2018-07-07,6.14285714285714,30.8571428571429,22.7142857142857,18.7142857142857,91.5714285714286,24.1428571428571
"5",2018-07-08,7.14285714285714,29.1428571428571,22.5714285714286,18,89.7142857142857,22.7142857142857
"6",2018-07-09,7.71428571428571,30,21.8571428571429,18.1428571428571,87.7142857142857,22.2857142857143
"7",2018-07-10,6.71428571428571,30.1428571428571,23.4285714285714,17.4285714285714,87.7142857142857,22
"8",2018-07-11,6.42857142857143,30.4285714285714,22.1428571428571,17.8571428571429,86.7142857142857,21.1428571428571
"9",2018-07-12,6.42857142857143,30.1428571428571,22.5714285714286,17.7142857142857,87.2857142857143,22
"10",2018-07-13,7.42857142857143,32.4285714285714,23.2857142857143,18,90.1428571428571,23.5714285714286
"11",2018-07-14,6,31.7142857142857,23.5714285714286,18.1428571428571,90.1428571428571,23.7142857142857
"12",2018-07-15,5.57142857142857,35.2857142857143,24.8571428571429,18.5714285714286,94.4285714285714,24
"13",2018-07-16,11.1428571428571,34.2857142857143,25.1428571428571,19,95.4285714285714,24.4285714285714
"14",2018-07-17,11.7142857142857,32.8571428571429,24.2857142857143,18.2857142857143,93.2857142857143,22.7142857142857
"15",2018-07-18,11.7142857142857,33.7142857142857,24.7142857142857,17.1428571428571,92,23.2857142857143
"16",2018-07-19,11.7142857142857,32.5714285714286,24.7142857142857,18,91.2857142857143,21.7142857142857
"17",2018-07-20,11.2857142857143,31.4285714285714,24.8571428571429,18,91.2857142857143,21
"18",2018-07-21,11.4285714285714,31,25.5714285714286,18,91.1428571428571,20.8571428571429
"19",2018-07-22,11.7142857142857,28.8571428571429,25.5714285714286,19,90.4285714285714,20.2857142857143
"20",2018-07-23,6,27.5714285714286,24.7142857142857,18.1428571428571,87.4285714285714,18.5714285714286
"21",2018-07-24,6.71428571428571,29,24.2857142857143,18.5714285714286,89,20.4285714285714
"22",2018-07-25,6.85714285714286,27.7142857142857,23.2857142857143,19.1428571428571,88.4285714285714,19
"23",2018-07-26,7.14285714285714,27.7142857142857,23,19,87.1428571428571,19.2857142857143
"24",2018-07-27,7.28571428571429,27.1428571428571,23.1428571428571,18.2857142857143,87,19.8571428571429
"25",2018-07-28,7.85714285714286,27.8571428571429,23.2857142857143,19.8571428571429,89.7142857142857,19.8571428571429
"26",2018-07-29,8.42857142857143,27.7142857142857,24,19.2857142857143,91.2857142857143,20.5714285714286
"27",2018-07-30,11.5714285714286,28.8571428571429,26.1428571428571,19.7142857142857,94,20.1428571428571
"28",2018-07-31,15.2857142857143,28.7142857142857,26.8571428571429,21.4285714285714,94.5714285714286,18.7142857142857
"29",2018-08-01,15.1428571428571,29.7142857142857,28.1428571428571,20.8571428571429,97.8571428571429,19.5714285714286
"30",2018-08-02,14.8571428571429,29.7142857142857,28.2857142857143,20.7142857142857,99.7142857142857,19.2857142857143
"31",2018-08-03,14.8571428571429,29,28.4285714285714,21.7142857142857,98.4285714285714,17.8571428571429
"32",2018-08-04,13.7142857142857,28.7142857142857,27.8571428571429,20.1428571428571,94.8571428571429,18.5714285714286
"33",2018-08-05,12.5714285714286,28.2857142857143,26.5714285714286,20.1428571428571,90.7142857142857,17.8571428571429
"34",2018-08-06,9.71428571428571,27.5714285714286,25.2857142857143,21,89.8571428571429,18.7142857142857
"35",2018-08-07,5,28.5714285714286,24.4285714285714,20.8571428571429,88.7142857142857,18.8571428571429
"36",2018-08-08,5.28571428571429,28.1428571428571,23.7142857142857,21.8571428571429,87.4285714285714,18.7142857142857
"37",2018-08-09,5.14285714285714,29.8571428571429,24.8571428571429,23.5714285714286,91.5714285714286,20
"38",2018-08-10,5,30.1428571428571,26,23.2857142857143,92.4285714285714,20.4285714285714
"39",2018-08-11,6,29.8571428571429,27,23.4285714285714,93.5714285714286,18.8571428571429
"40",2018-08-12,5.85714285714286,30.5714285714286,28.2857142857143,24.7142857142857,98,21.1428571428571
"41",2018-08-13,5.28571428571429,30.7142857142857,29.5714285714286,24.7142857142857,100.571428571429,22.8571428571429
"42",2018-08-14,7.42857142857143,30,29.7142857142857,25,103.285714285714,24.2857142857143
"43",2018-08-15,7.28571428571429,29.4285714285714,31.2857142857143,24.7142857142857,104.571428571429,24.5714285714286
"44",2018-08-16,7.28571428571429,28.5714285714286,30,24.1428571428571,101.857142857143,23.4285714285714
"45",2018-08-17,7.85714285714286,28.1428571428571,28.7142857142857,25,99.4285714285714,23.1428571428571
"46",2018-08-18,8,29,27.2857142857143,25.2857142857143,98.5714285714286,23.1428571428571
"47",2018-08-19,8.71428571428571,28.4285714285714,26.5714285714286,24.8571428571429,96.2857142857143,20.8571428571429
"48",2018-08-20,8.57142857142857,29.4285714285714,25,23.5714285714286,92.7142857142857,19.7142857142857
"49",2018-08-21,6.28571428571429,28.7142857142857,25.5714285714286,22.5714285714286,91.1428571428571,18.8571428571429
"50",2018-08-22,6.42857142857143,29.1428571428571,23.7142857142857,23.8571428571429,89.5714285714286,18.1428571428571
"51",2018-08-23,6.42857142857143,27.8571428571429,23.2857142857143,24.7142857142857,88.7142857142857,17.5714285714286
"52",2018-08-24,7.14285714285714,28.8571428571429,23.2857142857143,25.1428571428571,91.8571428571429,18
"53",2018-08-25,6,28,22.8571428571429,25.4285714285714,92,18.7142857142857
"54",2018-08-26,6.28571428571429,27.4285714285714,23.4285714285714,23.5714285714286,91.8571428571429,19.2857142857143
"55",2018-08-27,6.57142857142857,26.8571428571429,24.1428571428571,26.1428571428571,96.2857142857143,19
"56",2018-08-28,6.71428571428571,27.2857142857143,25.4285714285714,25.7142857142857,97.7142857142857,18.8571428571429
"57",2018-08-29,6.57142857142857,26.2857142857143,25.5714285714286,25.5714285714286,97,19.1428571428571
"58",2018-08-30,6.57142857142857,26.8571428571429,25.8571428571429,25.2857142857143,96.1428571428571,20.5714285714286
"59",2018-08-31,5.28571428571429,27.2857142857143,26.2857142857143,24.1428571428571,95.8571428571429,21.5714285714286
"60",2018-09-02,6.57142857142857,26.7142857142857,26.8571428571429,23.5714285714286,94.4285714285714,21.2857142857143
"61",2018-09-03,5.85714285714286,27.2857142857143,26.5714285714286,25.4285714285714,95.5714285714286,21.1428571428571
"62",2018-09-04,6.28571428571429,27.2857142857143,25.4285714285714,22.4285714285714,91.7142857142857,21.4285714285714
"63",2018-09-05,6.14285714285714,27.4285714285714,23.4285714285714,22.7142857142857,88.4285714285714,21.8571428571429
"64",2018-09-06,6,28.2857142857143,23.1428571428571,21,87,21.5714285714286
"65",2018-09-07,7.28571428571429,26.7142857142857,24.5714285714286,18.1428571428571,85.2857142857143,20.1428571428571
"66",2018-09-08,7.14285714285714,26.2857142857143,22.7142857142857,18.2857142857143,82.8571428571429,19.2857142857143
"67",2018-09-09,7.28571428571429,27.8571428571429,22,18.7142857142857,84.4285714285714,19.5714285714286
"68",2018-09-10,7.57142857142857,27.1428571428571,21,17,81.1428571428571,19.1428571428571
"69",2018-09-11,7.57142857142857,27.1428571428571,22,18.4285714285714,82.2857142857143,17.7142857142857
"70",2018-09-12,7.57142857142857,27.7142857142857,22.4285714285714,18,86,17.8571428571429
"71",2018-09-13,7.57142857142857,28.5714285714286,23.5714285714286,18.7142857142857,88.8571428571429,19.4285714285714
"72",2018-09-14,7.85714285714286,28.2857142857143,22.7142857142857,18.4285714285714,89.4285714285714,18.4285714285714
"73",2018-09-15,8.14285714285714,28.4285714285714,25.7142857142857,19.2857142857143,92.7142857142857,19
"74",2018-09-16,7.85714285714286,27.4285714285714,26.5714285714286,19,93.2857142857143,19.7142857142857
"75",2018-09-17,8.28571428571429,27.7142857142857,27,19.2857142857143,95,20.2857142857143
"76",2018-09-18,7.42857142857143,28,26.1428571428571,19.2857142857143,94.4285714285714,21.2857142857143
"77",2018-09-19,7.57142857142857,27.8571428571429,26.1428571428571,18.8571428571429,91.5714285714286,20.7142857142857
"78",2018-09-20,7.85714285714286,27.8571428571429,25.7142857142857,18.8571428571429,91.2857142857143,20
"79",2018-09-21,7,28.7142857142857,25.2857142857143,19.4285714285714,90.7142857142857,20.4285714285714
"80",2018-09-22,7.85714285714286,28.7142857142857,22.1428571428571,18.4285714285714,86,19
"81",2018-09-23,8.57142857142857,29.4285714285714,22.4285714285714,19.1428571428571,86.7142857142857,19.5714285714286
"82",2018-09-24,15.2857142857143,29.8571428571429,21.5714285714286,19.7142857142857,84.7142857142857,18.4285714285714
"83",2018-09-25,27.4285714285714,30.7142857142857,21.8571428571429,19.5714285714286,84.2857142857143,18.2857142857143
"84",2018-09-26,27.1428571428571,28,21,19.8571428571429,79.4285714285714,17
"85",2018-09-27,26.8571428571429,26.4285714285714,20.7142857142857,19.4285714285714,76.8571428571429,15.7142857142857
"86",2018-09-28,27.4285714285714,27.2857142857143,23.4285714285714,21.2857142857143,84,16.8571428571429
"87",2018-09-29,26.5714285714286,26.1428571428571,24.4285714285714,21.4285714285714,84.2857142857143,16.4285714285714
"88",2018-09-30,26.8571428571429,25,24.1428571428571,20.5714285714286,80.5714285714286,14.2857142857143
"89",2018-10-01,21.5714285714286,25.4285714285714,23.2857142857143,20.1428571428571,79.5714285714286,15.1428571428571
"90",2018-10-02,10,24.4285714285714,21.8571428571429,20.2857142857143,78.5714285714286,16.1428571428571
"91",2018-10-03,10.1428571428571,26.7142857142857,22.8571428571429,20.8571428571429,82.4285714285714,18.1428571428571
"92",2018-10-04,10.4285714285714,29.1428571428571,22,20.2857142857143,83.7142857142857,19.5714285714286
"93",2018-10-05,11,29,19.2857142857143,18.4285714285714,78.2857142857143,19.1428571428571
"94",2018-10-06,13.1428571428571,28.8571428571429,19.4285714285714,20,81.7142857142857,19.4285714285714
"95",2018-10-07,18.7142857142857,29.2857142857143,20.5714285714286,20.8571428571429,85.2857142857143,21
"96",2018-10-08,17.2857142857143,27.2857142857143,22.1428571428571,20.8571428571429,86.4285714285714,20.2857142857143
